Courier code,Courier name,物流商名称
novaposhta,Nova Poshta,Nova Poshta
webcsw,OCS ANA Group,OCS ANA Group
cope,Cope Sensitive Freight,Cope Sensitive Freight
dhlparcel,DHL Parcel NL,DHL Parcel NL
dpd_ru,DPD Russia,DPD Russia
elta,ELTA Hellenic Post,希腊邮政
estafeta,Estafeta,Estafeta
jerseypost,Jersey Post,Jersey Post
postur,Iceland Post,冰岛邮政
sap_express,SAP EXPRESS,SAP EXPRESS
sendaexpress,Mexico Senda Express,Mexico Senda Express
shipwizmo,Wizmo,Wizmo
shreenandancourier,SHREE NANDAN COURIER,SHREE NANDAN COURIER
skynetwwe,SkyNet Worldwide Express,SkyNet Worldwide Express
spoton,SPOTON Logistics,SPOTON Logistics
szendex,SZENDEX,SZENDEX
wndirect,wnDirect,wnDirect
xde,Ximex Delivery Express,Ximex Delivery Express
aplus100,A Plus Express,美国汉邦快递
arkexpress,ARK Express,方舟国际速递
bombinoexp,Bombino Express,Bombino Express
dpe,DPE Express,递必易
esdex,TopEX,卓志
first_flight,First Flight Couriers,First Flight Couriers
kazakhstan-post,KazPost,哈萨克斯坦邮政
lbexps,LB Express,立邦国际物流
lwe,LWE,LWE
mauritius-post,Mauritius Post,毛里求斯邮政
posta,Macedonia Post,马其顿邮政
tarrive,Tonda Global,通达全球
etowertech,eTower,eTower
dbschenker-se,DB Schenker Sweden,DB Schenker Sweden
lhtex,LHT Express,联昊通
jtexpress_vn,J&T Express Vietnam,J&T Express Vietnam
joom,Joom Logistics,Joom Logistics
geswl,GESWL Express,上海翼速国際物流
stepforwardfs,Step Forward,Step Forward
ec-express,EC express,东擎速递
newegg,Newegg Express,Newegg Express
orangeds,OrangeDS,OrangeDS
ase,ASE KARGO,ASE KARGO
legion_express,Legion Express,Legion Express
sblogistica,Sber Logistics,Sber Logistics
gls-croatia,GLS Croatia,GLS Croatia
venipak,Venipak,Venipak
stone3pl,STONE3PL,STONE3PL
stallion-express,Stallion Express,Stallion Express
roadrunner-freight,Roadrunner Freight,Roadrunner Freight
qwintry,Qwintry,Qwintry
logistika,Logistika,Logistika
logisters,logisters,随波物流
lmparcel,lmparcel,六脉速运
gls-sk,GLS Slovakia,GLS Slovakia
globalpost,Global Post,Global Post
euasia,Euasia,EAX欧亚专线
ecoscooting,EcoScooting,EcoScooting
blue-express,Blue Express,Blue Express
anicamboxexpress,Anicam Box Express,Anicam Box Express
a1post,A1POST,A1POST
139express,139 Express,139快递
pilot-freight,Pilot Freight,Pilot Freight
saia-freight,Saia LTL Freight,Saia LTL Freight
tnt-au,TNT Australia,澳大利亚TNT
shopeexpress,Shopee Express（MY）,Shopee Express（MY）
jamaica-post,Jamaica Post,Jamaica Post
korea-post-(domestic),Korea Post (Domestic),韩国邮政
kyrgyz-express-post,Kyrgyz Express Post,吉尔吉斯斯坦邮政
lithuania-post,Lithuania Post,立陶宛邮政
postplus,PostPlus,PostPlus
pos-malaysia,Pos Malaysia,马来西亚邮政
malta-post,Malta Post,马耳他邮政
norway-post,Norway Post,挪威邮政
pakistan-post,Pakistan Post,巴基斯坦邮政
philippine-post,Philippine Post,菲律宾邮政
correo-el-salvador,Correo El Salvador,塞尔瓦多邮政
post-sa,Saudi Post,沙特阿拉伯邮政
slovakia-post,Slovakia Post,斯洛伐克邮政
sri-lanka-post,Sri Lanka Post,斯里兰卡邮政
chunghwa-post,Chunghwa Post,台湾邮政
ptt,PTT,土耳其邮政
ukrposhta,Ukrposhta,乌克兰邮政
vietnam-post,VietNam Post,越南邮政
ytb,1TONG,1TONG
alj,ALLJOY,ALLJOY
fuj,FJEX,上海孚界物流
mad,Madrooex,Madrooex
sbd,SBD,SBD
swe,SW Express,上海守务国际
wel,WEL,世航通运
xyl,XYL,兴远国际物流
xyy,XYY,行运易
yid,1ST,一代国际
bht,BHT,白海豚
fbb,FBB,摆渡一下
eac,EAC,富皇美运
hzc,HZC,洪赞成物流
hsd,HSDGJ,寰世达
jhl,JH,杰航国际物流
lte,LTEXP,乐天速递
lxl,LingXun Logistics,领讯物流
dreamlove,NutriPass Global,合规供应链
qye,QY,千予国际物流
shg,SHE,森鸿国际
jxc,SHJX,上海驹隙
xxd,XXD,上海享享达
scg,SCGJ,拾诚国际
sdk,SDK,斯德克
tsl,TakeSend,泰嘉物流
tfs,TFS,天府盛
tyz,TopYou,通邮集团
xxw,Star-Wish,星希望供应链
fhe,YFH,原飞航
zle,AllRoad,众鹿跨境物流
fpost,5Post,5Post
abxexpress,ABX Express,ABX Express
acscourier,ACS,ACS
apg,APG eCommerce,APG eCommerce
aqu,Aquiline,Aquiline
asendiausa,Asendia USA,Asendia USA
bluecare,Bluecare,Bluecare
cargus,Cargus,Cargus
cdllastmile,CDL Last Mile,CDL Last Mile
chitchats,Chit Chats,Chit Chats
collectplus,Collect+,Collect+
dao365,dao,dao
dealersend,DealerSend,DealerSend
