Courier code,Courier name,物流商名称
hjxing,Huijuxing Logistics,汇聚兴物流
hpwl,HAI PENG,海鹏物流
itepi,YI MI GONG YING LIAN,依米供应链
szbl56,szbl,贝拉供应链
hyd,HYDO,汇洋达物流
logsoeasy,logsoeasy,三合源
jdl,JDL,京东物流
yunda56,Yunda Express,韵达快运
dhl-ecommerce-cn,DHL eCommerce CN,DHL eCommerce CN
celdt,CEL International,珲春畅达
whatsship,Whats ship,Whats ship
weaship,WESHIP,weaship国际速运
cmk,CMK,晨明坤供应链
kxj,kaixuanjia,凯旋嘉供应链
fafalux,FAFALUX,邦太跨境物流平台
tusou,TUSOU,图搜物流
bcytexp,BCYT EXP,秉诚运通
logtt,LOGTT,妥投国际物流
techtms,Techtms,Techtms
wex,WEX,WEX
myteamge,Team Global Express,Team Global Express
siyunda,驷运达国际,驷运达国际
ckeex,CKEEX Global Express,希凯易
apc-overnight,APC Overnight,APC Overnight
xinran,X. R. Logistics,欣染
dsv-za,DSV（ZA）,DSV（ZA）
thedeliverygroup,The Delivery Group,The Delivery Group
cirro,CIRRO,CIRRO
xfd,NEWFENGDA,新丰达跨境
yuteng,Xin Kunpeng Logistics,鑫鲲鹏物流
hopetrans,HOPE TRANS,深圳皓鹏国际物流
huahaiexpress,Huahai Express,花海速递
db-schenker,DB Schenker,DB Schenker
dlx,DLX,德立迅国际物流
luckysky,LUCKY SKY,乐天集运
wiselution,Wiselution,智方物流科技
stjy56,STJY,苏州通世供应链
zidin,Zidin,自迪
udel,UDEL,优递物流
cnllexp,LINLONG,琳龙速递
yaresea,YARESEA INTL LOG,豫海易境
wanyuexpress,Wanyu Express,万宇运通
gls-spain,GLS Spain (National),GLS Spain (National)
cirroparcel,CIRRO Parcel,CIRRO Parcel
quiqup,Quiqup,Quiqup
emileps,eMile,eMile
dayonetrack,Day One Track,Day One Track
dpd-ch,DPD (CH),DPD (CH)
welight-exp,Welight,威莱特国际
xys,xyslogistics,新源晟
b2ceurope-be,B2C Europe(BE),B2C Europe(BE)
dmgj,Damai International Logistics,大迈国际物流
passport,Passport Shipping,Passport Shipping
szqlwl,Qili Logistics,齐力物流
hbgyl,Hanbang Supply Chain,瀚邦供应链
suratkargo,Surat Kargo,Sürat Kargo
aoyue,Aoyue,澳越供应链
fswuliu,FAN SHENG,帆盛物流
linhan56,LIN HAN GUO JI,林瀚国际
estafeta-usa,Estafeta USA,Estafeta USA
ywbzexpress,YWBZ Express,百洲货运
uralsvip,URAL,乌拉尔国际物流
mtswl,MEITESHUN,美特顺物流
poslaju,PosLaju,PosLaju
amazon_it,Amazon shipping Italy,Amazon shipping Italy
tanais,Tanais express,Tanais express
jx2u,JUXIN,聚馨科技
eparcelus,Eparcel,Eparcel
guoo,GUOO Logistics,国欧物流
szcsjwl,szcsjwl,穿山甲
linktrans,Linktrans Logistics,联宇物流
fqd56,FDQ,凡士达
logic,Logic,Logic
atbexpress,ATB,ATB 速运
szlxgyl,szlxgyl,联行供应链
jygjgyl,jygjgyl,嘉扬国际
fasthorse,Fast Horse Express,Fast Horse Express
willcang,willcang,未来云仓
tiui,tiui,tiui
kqgyl,kqgyl,凯琦供应链
alibaba-logistics,alibaba logistics,阿里巴巴国际站物流服务
b2ceurope-de,B2C Europe(DE),B2C Europe (DE)
egxpress,Egypt Express,Egypt Express
fdgyl,FREEDOM GLOBAL,飞点供应链
speedx,SpeedX,SpeedX
gobolt,GoBolt,GoBolt
jcwexpress,JCW Express,急成稳物流
flycourier,Fly Courier,Fly Courier
yuanchuan_int,YUANCHUAN,远传国际
hua_express,HUA EXPRESS,华联万通
benben,BEN BEN,BEN BEN
quiken,quiken,quiken
peddler,Peddler Express,Peddler Express
summitspeed,Summit Speed,Summit Speed
spl,SEAPORT EXPRESS,海港极速
ywcjgj,CJ-EXP,畅俊国际
yuanpeng,YP,远朋物流
bahao,EIGHT International freight,八好国际
uofexp,UOF EXPRESS,骏佳国际物流
ozon,OZON,OZON
gofo-express,GOFO,GOFO
ontime,Ontime,Ontime
boxnow,BOXNOW,BOXNOW
ets-express,RETS EXPRESS,俄通收
anhua,Anhua International,安华国际
tyh,TYH,通云航
skynet-pk,Skynet(PK),Skynet(PK)
too-express,TOO Express,TOO Express
yingde,YingDe,应得物流
dpd-cn,DPD(CN),DPD(CN)
yne,YNE,日昇源
logbay,Logbay,琉贝
dpd-si,DPD(SI),DPD(SI)
meijie,Meijie,美捷国际
techlink,Techlink,智禾
thhy,TH,天汇恒源
xichen,XICHEN,熙辰供应链
xyex,XYEX,星邮国际
chinz,CHINZLOGISTICS,泰远国际物流
pdex,PD Express,PD Express
supcourier,Supcourier,Supcourier
gls-de,GLS(DE),GLS(DE)
easy-express,Easy Express Global,Easy Express Global
tusklogistics,tusk logistics,tusk logistics
porterex,Porter Express,Porter Express
posten-bring,Posten Bring,Posten Bring	
dpd-nl,DPD(NL),DPD(NL)
daipost,DAI Post,DAI Post
transfly,TRANSFLY,TRANSFLY
ytgyl,YTGYL,义途供应链
fedex-cross-boder,Fedex Cross Boder,Fedex Cross Boder
relay,Relay,Relay
jthq,JTHQ,极通环球
sky-sa,SKY-SA,SKY-SA
gtagsm,GTA GSM,GTA GSM
goworldexpress,Go World Express,行界物流
ant-parcel,ANT PARCEL,ANT PARCEL
mtexp,MTEXP,萌兔供应链
jitongexp,JT,际通国际速递
valmo,VALMO,VALMO
pdn,PDN EXPRESS,PDN EXPRESS
horizon,HORIZON,HORIZON
veho,Veho,Veho
slxexp,SLX,世联鑫国际物流
shipglobal-in,Shipglobal.in,Shipglobal.in
heppner,Heppner,Heppner
jlfba,Jinlian,锦联国际物流
3pe,3PE EXPRESS,3PE EXPRESS
fan-courier-eu,FAN Courier (EU),FAN Courier (EU)
bestfulfill,BESTFULFILL,BESTFULFILL
newpackets,NewPackets,NewPackets
metropolitan,METROPOLITAN,METROPOLITAN
fleetoptics,FleetOptics,FleetOptics
metooda,METOODA,美通达
westernpost,Western Post, Western Post
mothership,Mothership,Mothership
asusexp,AUS,AUS
dhl-tr,DHL eCommerce (TR),DHL eCommerce (TR)
xuansi,XUANSI,炫思速运
xlcourier,XLCourier,XLCourier
bdt,BDT,百达通物流
finalstep,FinalStep,FinalStep 
flashbox,FlashBox,FlashBox
kolay-gelsin,Kolay Gelsin,Kolay Gelsin
instabox,Instabox,Instabox
runding,Run Ding,容鼎供应链
cargo-expreso,Cargo Expreso,Cargo Expreso
huiganwu,HUIGANWU,汇赣武供应链
hubo,Hubo Logistics,巨宝物流
qianhai-zhongxing,Qianhai zhongxin supply chain,钱海众鑫供应链
xwwt,XWWT,兴伟万通
tuomeida,Tuomeida Logistics,拓美达
zy100,ZY,中远快运
shipink,Shipink,Shipink
swiftx,SwiftX Express,SwiftX Express
fastbox,Fast box,Fast box
do-deliver,Do Deliver,Do Deliver
kunexpress,Kun Express,鲲辰
b2ceurope-nl,B2C Europe (NL),B2C Europe (NL)
zonace,ZONACE,尊祐供应链
dpdex,DpdEx,多普达国际
iq-fulfillment,IQ Fulfillment,IQ Fulfillment
byt,BYT,佰邮通
central-transport,Central Transport,Central Transport
jytd,JYTD,捷易通达
xzh,新纵横,XZH
xlmiles,Xlmiles,Xlmiles
omest,OMEST,OMEST
yanwenexpress,YWE,YWE
haodonggj,HDGJ,皓东国际
yunfeng,Yunfeng,云锋国际物流
giga-cloud,GigaCloud Technology Inc,GigaCloud Technology Inc
obibox,obibox,obibox
dexpressrs,Dexpress,Dexpress
gofo-fr,GOFO (France),GOFO (France)
gofo-nl,GOFO (Netherlands),GOFO (Netherlands)
gofo-it,GOFO (Italy),GOFO (Italy)
jasing,JASINGEXP,嘉信供应链
b2ceurope,B2C Europe,B2C Europe
bossexp,Boss Express,Boss Express
eu-shipments,eu Shipments,eu Shipments
sx,SX,SX
gls-ca,GLS(CA),GLS(CA)
wokexp,wokexp,威龙永凯
kart2door,kart2door,kart2door
zhenna,ZN AXD,臻纳供应链
tci,TCIEXPRESS,TCIEXPRESS
ywd,YWD,易网达
skynet-in,Skynet (India),Skynet (India)
spedisci,Spedisci .online,Spedisci .online
ch-robinson,C.H. Robinson,C.H. Robinson
aiya,AIYA,艾丫国际
redbox-sa,Redbox SA,Redbox SA
mingyang,Mingyang,明扬国际
ql-post,QL Post,琪林国际
gokwik,GoKwik,GoKwik
doordash,DoorDash,DoorDash
shipbob,ShipBob,ShipBob
parkn-parcel,Park N Parcel,Park N Parcel
novapost,Nova Post,Nova Post
speedpost,Speedpost,Speedpost
yto-ph,YTO Express(PH),圆通速递（菲律宾）
vt,VT freight express,VT freight express
jeebly,Jeebly,Jeebly
pdu,PDU,友递联
maiyun,Myline,迈运供应链
hygjgyl,Good luck International,好运国际
luwei,LuWei,露微物流
shiprocket-cargo,Shiprocket Cargo,Shiprocket Cargo
aex-express,aex express,aex express
jch,JCH,金凯供应链
rongmao,RongMao,荣贸物流
alphastline,Alphastline,傲飞国际
hitch,Hitch,Hitch
suyuan,SUYUAN,速远国际
mailog,Mailog,Mailog
blgj,BLGJ,布龙国际
bfe,BFE Express,BFE Express
torbon,Torbon,拓邦国际
ff-logistics,FF Logistics,FF Logistics
eco-express,ECO EXPRESS,ECO EXPRESS
df-express,DF EXPRESS,DF EXPRESS
lightning,Lightning Express,Lightning Express
gfs-express,GFS Express,GFS Express
jumppoint,Jumppoint,Jumppoint
jyst,JYST,嘉运晟途
ruiguantong,Ruiguantong Logistics,Ruiguantong Logistics
maxzeego,MaxZeeGo,MaxZeeGo
rastreae,Rastreae,Rastreae
sway,Sway,Sway
wjd,WJDGJ Express,万境达
cndexpress,CND Express,CND Express
jordan-post,Jordan Post,Jordan Post
kenya-post,Kenya Post,肯尼亚邮政
kiribati-post,Kiribati Post,基里巴斯邮政
kuwait-post,Kuwait Post,科威特邮政
enterprise-des-poste-lao,Enterprise des Poste Lao,老挝邮政
liban-post,Liban Post,黎巴嫩邮政
lesotho-post,Lesotho Post,莱索托邮政
libya-post,Libya Post,利比亚邮政
saint-lucia-post,Saint Lucia Post,圣卢西亚邮政
macau-post,Macau Post,澳门邮政
maldives-post,Maldives Post,马尔代夫邮政
moldova-post,Moldova Post,摩尔多瓦邮政
mongol-post,Mongol Post,蒙古邮政
montenegro-post,Montenegro Post,黑山邮政
morocco-post,Morocco Post,摩洛哥邮政
myanmar-post,Myanmar Post,缅甸邮政
namibia-post,Namibia Post,纳米比亚邮政
nepal-post,Nepal Post,尼泊尔邮政
nicaragua-post,Nicaragua Post,尼加拉瓜邮政
nigerian-post,Nigerian Post,尼日利亚邮政
oman-post,Oman Post,阿曼邮政
palestine-post,Palestine Post,巴勒斯坦邮政
correos-panama,Correos Panama,巴拿马邮政
png-post,PNG Post,巴布亚新几内亚邮政
correo-paraguayo,Correo Paraguayo,巴拉圭邮政
serpost,Serpost,秘鲁邮政
q-post,Q-Post,卡塔尔邮政
romania-post,Romania Post,罗马尼亚邮政
rwanda-post,Rwanda Post,卢旺达邮政
svg-post,SVG Post,圣文森特和格林纳丁斯邮政
san-marino-post,San Marino Post,圣马力诺邮政
la-poste-de-senegal,La Poste De Senegal,塞内加尔邮政
serbia-post,Serbia Post,塞尔维亚邮政
seychelles-post,Seychelles Post,塞舌尔邮政
slovenia-post,Slovenia Post,斯洛文尼亚邮政
solomon-post,Solomon Post,所罗门群岛邮政
sudan-post,Sudan Post,苏丹邮政
direct-link,Direct Link,Direct Link
syrian-post,Syrian Post,叙利亚邮政
samoa-post,Samoa Post,赛摩亚邮政
tanzania-post,Tanzania Post,坦桑尼亚邮政
la-poste-de-togo,La Poste De Togo,多哥邮政
tuvalu-post,Tuvalu Post,图瓦卢邮政
la-poste-de-tunisia,La Poste De Tunisia,突尼斯邮政
uganda-post,Uganda Post,乌干达邮政
uzbekistan-post,Uzbekistan Post,乌兹别克斯坦邮政
correo-uruguayo,Correo Uruguayo,乌拉圭邮政
vietnam-ems,VietNam EMS,越南EMS
yemen-post,Yemen Post,也门邮政
zambia-post,Zambia Post,赞比亚邮政
zimbabwe-post,Zimbabwe Post,津巴布韦邮政
bermuda-post,Bermuda Post,百慕大邮政
gibraltar-post,Gibraltar Post,直布罗陀邮政
aland-post,Aland Post,奥兰群岛邮政
antilles-post,Antilles Post,安的烈斯邮政
aruba-post,Aruba Post,阿鲁巴邮政
faroe-post,Faroe Post,法罗群岛邮政
tele-post,Tele Post,格陵兰邮政
opt-nc,OPT-NC,OPT-NC
bty,AnserX,斑头雁物流
bab,BAB,BAB
bre,BR1,BR1
bsi,BSI,BSI
cdx,CD,成达国际物流
elx,ELINEX,一来物流
epp,EPP,易达全球
eps,EPS,EPS
zes,Eshun,俄顺国际物流
gct,GCT,GCT
ldy,Global Leader,Global Leader
gxa,GXA,高翔物流
hdl,HDQN,恒递物流
hqe,HQGJXB,HQGJXB
bwe,Hundred Miles Freight,百为物流
jap,JAPO Transport,JAPO Transport
jyf,JY,佳赢国际物流
kwt,KWT,京华达物流
zyqlde,LEADER,立德国际物流
lhg,LHG,深圳联赫国际物流
lbr,Link Bridge,Link Bridge
lye,LY,龙缘
nuo,NUO,沈诺国际
htf,OOPSTON,昊通国际物流
red,Redbox,Redbox
rhm,RHM,卉马国际物流
sana,Sana,Sana
sgf,SGF,航星物流
sht,SHT,速汇通
hme,SMARTCAT,上海黑猫快运
sta,ST Logistics,广州世通
xrz,Sunnyway,星锐国际物流
tde,TDE,TDE
tzz,Tinzung,天纵供应链
tzt,TZT,TZT
uva,UVAN,宇环国际物流
zlx,Wiio,Wiio
yfm,YFM,泛美供应链
yha,YHA,越航物流
ytg,YUTENG,彧腾国际物流
gtf,BSIE,柏电科技物流
bel,BEL,北俄国际
csi,CSIL,常昇国际
chh,CHH,春红物流
bsc,DEQI,德启
dye,DYEXPRESS,德远物流
dwe,DWE,多维智慧
ese,ESE,俄速易
fah,fargood,发个货
fce,FCKJ,飞驰供应链
jbf,JOYING BOX,飞盒跨境
fsg,FSGJ,飞速国际
gae,GAEA,盖亚物流
gcx,GCLG,光驰物流
gyl,GYL,国洋运通
hnc,HNCA Logistics,河南航投物流
hoyangexpress,HOYANGexpress,弘扬物流
hhe,HuaHang,华航吉运
hsi,Huasheng INT,华昇国际
htk,HuanTong,环通跨境物流
pfc,PFC,皇家物流
hmg,HMG,黄马褂
jdy,JDY,金斗云
jinlai,JINLAI,金来物流
jyc,JYC,金羊城
jmw,GIMEN,巨门跨境
kom,Komon,可蒙国际
cbo,KuaJing Line,跨境在线
mkf,Make Fly,迈客丰国际物流
myd,MYD,满壹滴
mzf,Mingzhi,铭志国际
cts,MSD,魔速达
nbt,NBT,南北通
oji,OU JIE,欧捷
oyx,OYXGJ,欧亚兴
pga,Pago,派格国际
psj,Parceljet,派速捷
che,Cheer,琪悦物流
qyn,Qyun,青云物流
eze,Ezex,轻松速达
rue,RUE,如易
rbl,Runbai,润百
bne,BONA,商盟
mxe,M-Trust,上海淼信
sto,STO Global,申通国际
stt,STADT,施塔特
sjs,Four Seasons,四季正扬
sst,SuperTon,速宝通
sps,SPES,速易邮
thg,Tinghao,挺好国际
did,Sinodidi,外运迪迪
wmb,WM,万盟云仓
xsexpress,XS Express,新树物流
yee,Yeeda,易达联运
yyt,YYT,易邮通
ypw,YunPai56,云派物流
atw,AtWindow,在窗
hzb,ZB,正博
zyc,CHINACOURIER,中快
zse,ZSGJ,中速国际
sin,Sinotrans,中外运香港
agility,Agility,Agility
airpak,Airpak Express,Airpak Express
axlehire,AxleHire,AxleHire
beeexpress,Bee Express,Bee Express
beone,Beone,Beone
blackarrow,Black Arrow Express,Black Arrow Express
boxberry,Boxberry,Boxberry
boxme,Boxme,Boxme
bringeraircargo,Bringer Air Cargo,Bringer Air Cargo
bringerparcel,Bringer Parcel Service,Bringer Parcel Service
cacesapostal,Cacesa Postal,Cacesa Postal
car,Caribou,Caribou
celeritas,Celeritas,Celeritas
chilexpress,Chilexpress,Chilexpress
citylink,City Link,City Link
cjlentury,CJ Century,CJ Century
cnilink,CNILINK,CNILINK
commonlineexpress,Commonline,Commonline Express
copaairlinescourier,Copa Airlines Courier,Copa Airlines Courier
courierplusnigeria,CourierPlus Nigeria,CourierPlus Nigeria
cseexpress,CSE,CSE
cubyn,Cubyn,Cubyn
dduexpress,DDU Express,DDU Express
dellin,Dellin,Dellin
delnext,Delnext,Delnext
deprisa,Deprisa,Deprisa
eas,Easy Way,Easy Way
ezg,EasyGet,EasyGet
esnadexpress,Esnad Express,Esnad Express
eurodis,EURODIS,EURODIS
fdl,Fast Despatch,Fast Despatch
fedexpoland,FedEx Poland,FedEx? Poland
flp,Flip Post,Flip Post
fpslogistics,FPS Logistics,FPS Logistics
gaash,GAASH Worldwide,GAASH Worldwide
gcexpress,GCX,GCX
geis,Geis,Geis
ghllogistics,GHL Logistics,GHL Logistics
dostavka,GlavDostavka,GlavDostavka
gpd,GPD Service,GPD Service
grandslamexpress,Grand Slam Express,Grand Slam Express
grastin,Grastin,Grastin
gtdexpress,GTD,GTD
gts,GTS Express,GTS Express
globavend,GV,GV
happypost,Happy-Post,Happy-Post
hermesb,Hermes Borderguru,Hermes Borderguru
houndexpress,Hound Express,Hound Express
habitparcel,HP,HP
interparcelau,Interparcel (AU),Interparcel (AU)
interparcelnz,Interparcel (NZ),Interparcel (NZ)
interparceluk,Interparcel (UK),Interparcel (UK)
iqs,IQS,IQS
isologistics,ISO Logistics,ISO Logistics
jdeexpress,JDE,JDE
jenyexpress,JENY,JENY
jexpress,J-Express,J-Express
joeyco,JoeyCo,JoeyCo
ksk,K-mestu,K-mestu
lazada,Lazada,Lazada
multranslogistics,Multrans Logistics,Multrans Logistics
nexive,Nexive,Nexive
nobordist,Nobordist,Nobordist
novaposhtaglobal,Nova Poshta Global,Nova Poshta Global
ocsworldwide,OCS Worldwide,OCS Worldwide
oneworld,One World,One World
osmworldwide,OSM Worldwide,OSM Worldwide
p2pmailing,P2P Mailing,P2P Mailing
pal,PAL Express,PAL Express
pcffinalmile,PCF,PCF
ponyexpress,Pony Express,Pony Express
postaplus,Posta Plus,Posta Plus
ptsexpress,PTS Worldwide Express,PTS Worldwide Express
qualitypost,Qualitypost,Qualitypost
ram,RAM,RAM
redbox,Redbox MV,Redbox MV
royalshipments,Royal Shipments,Royal Shipments
saee,SAEE,SAEE
sailpost,Sailpost,Sailpost
scmexpress,SCM,SCM
sending,Sending,Sending
sendit,SendIt,SendIt
sgtit,SGT,SGT
skroutz,Skroutz Last Mile,Skroutz Last Mile
smartpost,SMART Post Global,SMART Post Global
sprintstar,Sprintstar,Sprintstar
tmggroup,TMG,TMG
tmmexpress,TMM Express,TMM Express
tntfr,TNT(FR),TNT(FR)
urbanfox,UrbanFox,UrbanFox
vestovoy,Vestovoy,Vestovoy
vova,Vova Logistics,Vova Logistics
wahana,Wahana,Wahana
wbc,West Bank,West Bank
wing,Wing,Wing
xpologistics,XPO Logistics,XPO Logistics
yex,Yona Express,Yona Express
zajilexpress,Zajil Express,Zajil Express
yjl,YJL,延锦国际
artlogistics,ART LOGISTICS,ART LOGISTICS
fyy,AT,AT
aus,AUS,AUS
bsl,Bird System,Bird System
continental,Continental,Continental
cxcexpress,CXC Express,CXC Express
dnjexpress,DNJ Express,DNJ Express
dtd,DTD,DTD
ece,ECexpress,ECexpress
ecommercekz,E-commerce KZ,E-commerce KZ
eteen,ETEEN,ETEEN
etotal,eTotal,eTotal
ets,ETS,ETS
gbl,Gobopost,GPSL
hjy,HJYT,HJYT
hkd,HKD,HKD
hrd,HRD,HRD
zjt,JTEX,JTEX
lex,LEX,LEX
linex,Linex,Linex
qwl,Quickway,Quickway
jbt,QYSC,QYSC
sjt,SunJT,SunJT
tdexpress,TD Express,TD Express
ute,UTEC,UTEC
xyg,XINGYUAN,XINGYUAN
yds,YDS,YDS
yle,YL,YL
ymy,YMY,YMY
zxg,ZXG,ZXG
aoy,AO YOU,澳运国际
esx,ESX Logistics,八星物流
bestex,Best Inc.,百世国际
dwz,DWZ Expres,递五洲
konglokexpress,Kong Lok Express,港乐速邮
ant,ANT Express,广州安创
yud,YDGJ,杭州宇地
hongsuda,HSD,鸿速达
hmcp,HMCP,环贸仓配
hel,HUIN Logistics,惠恩物流
galaxy,JSH,嘉盛泓
kkeexpress,King Kong Express,京广速递
empsexpress,EMPS Express,快信快包
krexi,Krexi international,坤翔国际
mct,MCTrans,马可达
sprintpack,SprintPack,欧速通
kylinexpress,Kylin Express,麒麟物流
rrslogistics,RRS Logistics,日日顺物流
rct,RCT,润成通
saichenglogistics,Sai Cheng Logistics,赛诚国际
comettech,Comet Tech,上海彗吉
qfl,QFL Expres,深圳轻风
szc,SZJY,神州集运
syexpress,SY Express,顺阳供应链
sureexpress,Sure Express,速尔快递
taishi,TaiShi,泰实
tbs,TBS,淘布斯
ttk,TT Express,天天快递
wise,Wise Express,万色速递
wht,WHT,五和通
edl,EDL,壹递诺
ybe,CITITRANS,亦邦国际
yifan,YiFan,毅帆
ytz,TO C LOGISTICS,印洋
ymytlogistics,YouMeiYuTong,优美宇通
usp,U-Speed,优时派
uxt,UXTX,邮行天下
edlonlogistics,Edlon Logistics,誉德隆物流
yhexpress,YH Express,远航国际快运
yxilogistics,YXIL,悦希物流
uda,uda International,韵达国际
cnwangtong,CN wang tong,中国网通
zsdexpress,ZSDExpress,转瞬达集运
zhxtexpress,ZHXT Express,纵横迅通国际
royal-mail,Royal Mail,英国皇家邮政
kerryindevexpress,Kerry Indev Courier,Kerry Indev Courier
ightk,iGHTK,iGHTK
1688-carrier,1688,1688
2go,2GO,2GO
3dada,3DADA,圣大
4-sides,4 SIDES,4 SIDES
4-72-carrier,4-72,4-72
4pllab,4PLLAB,4PL实验室
6zex,6ZEX,六洲速通
7-tm,7-tm,七千里
a-tiempo-cargo,A Tiempo Cargo ,A Tiempo Cargo 
ada,ADA国际,艾递爱国际
adsone,ADSOne,ADSOne
afghan-post,Afghan Post,Afghan Post
aft,AFT,阿凡提
afterhaul,AfterHaul,航飞速达
air-bus-logistics,Air Bus Logistics,Air Bus Logistics
airterra,AirTerra,AirTerra
ait-worldwide-logistics,AIT Worldwide Logistics,AIT Worldwide Logistics
albanian-post,Albanian Post,Albanian Post
alfmensajeria,AlfmensAjeria,AlfmensAjeria
algeria-ems,Algeria EMS,Algeria EMS
algeria-post,Algeria Post,Algeria Post
allegro,Allegro,Allegro
am-home-delivery,AM Home Delivery,AM Home Delivery
am-logistics,Am-logistics,亚马迅物流
angelo-logistics,Angelo Logistics,安吉诺
anjieli-express,Anjieli express,安捷利物流
anlexpress,ANL,新干线
anl-cn,ANL,美新物流
aos,AOS,澳舜物流
arcbest-panther,ArcBest (Panther),ArcBest (Panther)
arco-spedizioni,Arco Spedizioni,Arco Spedizioni
asgyl,ASGYL,安速供应链
atmad-global-cargo,ATMAD GLOBAL CARGO,深圳隆诚
avent-logistics,avent Logistics,avent Logistics
azer-express-post,Azer Express Post,Azer Express Post
baosen-suntop,Baosen Suntop,堡森三通
barbados-post,Barbados Post,Barbados Post
bdm,BDM,BDM
be,BE,贝乙国际
belize-post,Belize Post,Belize Post
belpost,Belpost,Belpost
best-express,BEST EXPRESS,BEST EXPRESS
beta,BETA,骆迈通
bex,BEX,BEX
bhutan-post,Bhutan Post,Bhutan Post
bl,BL,比邻供应链
blackhaul,BLACKHAUL,BLACKHAUL
blue-leopard,Blue Leopard,蓝豹云仓供应链
bluestreak,Bluestreak,Bluestreak
bmurfs-express,BMURFS Express,蓝精灵速递
boda,BODA,博达捷运
bondex,Bondex,海程邦达
botswana-post,Botswana Post,Botswana Post
box,BOX,博克斯供应链
boxin,BOXIN,博信国际物流
boxtal,Boxtal,Boxtal
branding-worldwide-pty-ltd,BRANDING WORLDWIDE PTY LTD,BRANDING WORLDWIDE PTY LTD
brazil-border,Brazil Border,Brazil Border
breeze,Breeze,Breeze
broker-den,Broker Den,Broker Den
brunei-post,Brunei Post,Brunei Post
bsb,BSB,福州八十八
buffalo-za,BUFFALO (ZA),BUFFALO (ZA)
bunddl,Bunddl,Bunddl
burundi-post,Burundi Post,Burundi Post
c&c-coltd,C&C Co.,Ltd,C&C Co.,Ltd
cambodia-post,Cambodia Post,Cambodia Post
campost,Campost,Campost
cbl-logistica,CBL Logistica,CBL Logistica
cc-logistics,CC logistics,诚晨物流
cce,CCE,世纪汇速递
cdex,CDEX,辰达国际物流
centex,CENTEX,忠进货运
chaoyue-international-logistics,Chaoyue international logistics,超跃国际物流
chengtong,CHENGTONG,程通
china-southern-air-logistics,CHINA SOUTHERN AIR LOGISTICS,南航物流
chunghwa-post-demestic,Chunghwa Post (Demestic),Chunghwa Post (Demestic)
cigerma,Cigerma,西格码物流优选
cimc-ads,CIMC ADS,中集安达顺
ck-internation,CK internation,希凯国际
cnor,CNOR,CNOR
comebox,COMEBOX,盟塔斯
comet-hellas,Comet Hellas,Comet Hellas
compass,Compass,Compass
connect-couriers,Connect Couriers,Connect Couriers
correios-cabo-verde,Correios Cabo Verde,Correios Cabo Verde
correo-argentino,Correo Argentino,Correo Argentino
correos-costa-rica,Correos Costa Rica,Correos Costa Rica
correos-de-cuba,Correos de Cuba,Correos de Cuba
correos-de-honduras,Correos de Honduras,Correos de Honduras
correos-ecuador,Correos Ecuador,Correos Ecuador
courier-center,COURIER CENTER,COURIER CENTER
cowin-logistics,Cowin Logistics,旗云国际物流
crosscountry-freight,CrossCountry Freight,CrossCountry Freight
cr-russia,CR-RUSSIA,RUSSIA专线
cse,CSE,CSE
ctecz,CTECZ,盛汇通国际物流
ctgj,CTGJ,诚天国际
cts-express,CTS,华贸国际
cts-group,CTS GROUP,CTS GROUP
cupost-cu,CUpost (CU ?????),CUpost (CU ?????)
cxe,CXE,宸迅速递
cycloon-fietskoeriers,Cycloon (Fietskoeriers),Cycloon (Fietskoeriers)
dabonea,Dabonea,Dabonea
dachser,DACHSER,DACHSER
dakota-group,Dakota Group,Dakota Group
damai-yuncang,DaMai Yuncang,大迈云仓
danske-fragtmnd,Danske Fragtm?nd,Danske Fragtm?nd
ddgyl,DDGYL,东渡供应链
de-well,De Well,德威国际
deliver-it,DELIVER-IT,DELIVER-IT
deltec-courier,Deltec Courier,Deltec Courier
dh,DH,信达全球
dh-city-express,DH CITY EXPRESS,DH城市快递
dida-international-logistics,DIDA International Logistics,嘀嗒国际物流
didadi,DIDADI,嘀嗒嘀物流科技
dingdian,DingDian,丁点集运
djx,DJX,大巨星国际
dobropost,DobroPost,DobroPost
dognposten,Dognposten,Dognposten
dongdi-exp,Dongdi exp,东帝国际
dorje,DORJE,多杰物流
dpd-cz,DPD (CZ),DPD (CZ)
dpexpress,DPExpress,DP快递
dpx-express,DPX EXPRESS,地平线速运
dsv-e-commerce-il,DSV e-Commerce IL,DSV e-Commerce IL
dtd-express,DTD,DTD
duxiuexp,DuXiuExp,独秀国际
dvex,DVEX,德维国际
dylogistics,DYLogistics,递亿物流
easipass,EASIPASS,诚约轻松递
easyseller,EasySeller,亿迈
ebaza,Ebaza,易巴扎
ecg,ECG,ECG
ecgo,ECGO,易速达
echo-global-logistics,Echo Global Logistics,Echo Global Logistics
e-com-shipping-solutions-p-ltd,E-Com Shipping Solutions (P) Ltd,E-Com Shipping Solutions (P) Ltd
ecotrack,ECOTRACK,ECOTRACK
edaycome,edaycome,宜日达
edeliver,eDeliver,递速易国际
efs-e-commerce-fulfillment-servi,EFS (E-commerce Fulfillment Service),EFS (E-commerce Fulfillment Service)
egypt-post,Egypt Post,Egypt Post
eli-express,Eli Express,Eli Express
elite-co,Elite Co.,Elite Co.
endicia,endicia,endicia
envialia,envialia,envialia
enyuan-international,Enyuan International,Enyuan International
epos,EPOS,深圳宜友
eps-cross-border,EPS CROSS BORDER,易办事跨境
equatorial-supply-chain,Equatorial Supply Chain,赤道供应链
